,syn,cluster,shared,pf_index
875,71,2,False,636
876,71,2,True,239
877,71,2,True,240
878,71,2,False,637
879,71,2,False,638
880,71,2,False,639
881,71,2,False,640
882,71,2,False,641
883,72,2,False,642
884,72,2,False,643
885,72,2,True,241
886,72,2,False,644
887,72,2,False,645
888,72,2,False,646
889,72,2,False,647
890,72,2,False,648
891,72,2,False,649
892,73,2,True,242
893,73,2,True,243
894,73,2,False,650
895,73,2,False,651
896,73,2,False,652
897,73,2,False,653
898,73,2,False,654
899,73,2,False,655
900,73,2,False,656
901,74,2,False,657
902,74,2,False,658
903,74,2,True,244
904,74,2,False,659
905,74,2,False,660
906,74,2,False,661
907,74,2,False,662
908,74,2,False,663
909,74,2,True,245
910,75,2,False,664
911,75,2,False,665
912,75,2,True,246
913,75,2,False,666
914,75,2,False,667
915,75,2,False,668
916,75,2,False,669
917,75,2,False,670
918,76,2,False,671
919,76,2,False,672
920,76,2,False,673
921,76,2,False,674
922,76,2,False,675
923,76,2,False,676
924,76,2,True,247
925,76,2,True,248
926,76,2,False,677
927,76,2,True,249
928,77,2,False,678
929,77,2,True,250
930,77,2,True,251
931,77,2,False,679
932,77,2,True,252
933,77,2,False,680
934,77,2,False,681
935,77,2,True,253
936,77,2,False,682
937,77,2,False,683
938,78,2,False,684
939,78,2,True,254
940,78,2,False,685
941,78,2,False,686
942,78,2,False,687
943,78,2,False,688
944,78,2,True,255
945,78,2,False,689
946,78,2,True,256
947,78,2,False,690
948,79,2,False,691
949,79,2,False,692
950,79,2,True,257
951,79,2,False,693
952,79,2,False,694
953,79,2,False,695
954,79,2,False,696
955,79,2,True,258
956,79,2,False,697
957,79,2,False,698
958,80,2,False,699
959,80,2,False,700
960,80,2,False,701
961,80,2,True,259
962,80,2,True,260
963,80,2,True,261
964,80,2,False,702
965,80,2,False,703
966,80,2,True,262
967,80,2,False,704
968,80,2,False,705
969,80,2,True,263
970,80,2,True,264
971,81,2,True,265
972,81,2,False,706
973,81,2,True,266
974,81,2,False,707
975,81,2,False,708
976,81,2,False,709
977,81,2,False,710
978,81,2,True,267
979,81,2,False,711
980,81,2,False,712
981,81,2,False,713
982,81,2,False,714
983,81,2,False,715
984,82,2,False,716
985,82,2,True,268
986,82,2,True,269
987,82,2,True,270
988,82,2,False,717
989,82,2,False,718
990,82,2,False,719
991,82,2,True,271
992,82,2,False,720
993,82,2,False,721
994,82,2,False,722
995,82,2,False,723
996,82,2,False,724
997,83,2,False,725
998,83,2,False,726
999,83,2,True,272
1000,83,2,False,727
1001,83,2,False,728
1002,83,2,True,273
1003,83,2,False,729
1004,83,2,False,730
1005,83,2,False,731
1006,83,2,False,732
1007,83,2,False,733
1008,83,2,False,734
1009,84,2,True,274
1010,84,2,True,275
1011,84,2,False,735
1012,84,2,False,736
1013,84,2,False,737
1014,84,2,False,738
1015,84,2,False,739
1016,84,2,False,740
1017,84,2,False,741
1018,84,2,True,276
1019,84,2,False,742
1020,84,2,False,743
1021,85,2,False,744
1022,85,2,False,745
1023,85,2,False,746
1024,85,2,False,747
1025,85,2,False,748
1026,85,2,True,277
1027,85,2,False,749
1028,85,2,False,750
1029,85,2,False,751
1030,85,2,False,752
1031,85,2,False,753
1032,85,2,False,754
1033,86,2,False,755
1034,86,2,False,756
1035,86,2,False,757
1036,86,2,True,278
1037,86,2,False,758
1038,86,2,False,759
1039,86,2,False,760
1040,86,2,False,761
1041,86,2,False,762
1042,86,2,False,763
1043,86,2,False,764
1044,87,2,False,765
1045,87,2,False,766
1046,87,2,True,279
1047,87,2,False,767
1048,87,2,False,768
1049,87,2,False,769
1050,87,2,True,280
1051,87,2,False,770
1052,87,2,False,771
1053,87,2,False,772
1054,87,2,False,773
1055,87,2,False,774
1056,88,2,True,281
1057,88,2,False,775
1058,88,2,False,776
1059,88,2,False,777
1060,88,2,True,282
1061,88,2,False,778
1062,88,2,False,779
1063,88,2,False,780
1064,88,2,True,283
1065,88,2,False,781
1066,88,2,False,782
1067,89,2,True,284
1068,89,2,False,783
1069,89,2,True,285
1070,89,2,False,784
1071,89,2,False,785
1072,89,2,False,786
1073,89,2,False,787
1074,89,2,False,788
1075,89,2,False,789
1076,89,2,True,286
1077,89,2,True,287
1078,89,2,False,790
1079,90,2,False,791
1080,90,2,False,792
1081,90,2,False,793
1082,90,2,False,794
1083,90,2,False,795
1084,90,2,False,796
1085,90,2,False,797
1086,90,2,False,798
1087,90,2,False,799
1088,90,2,False,800
1089,90,2,False,801
1090,90,2,True,288
1091,91,2,False,802
1092,91,2,False,803
1093,91,2,False,804
1094,91,2,False,805
1095,91,2,False,806
1096,91,2,False,807
1097,91,2,False,808
1098,91,2,False,809
1099,91,2,False,810
1100,91,2,False,811
1101,91,2,True,289
1102,91,2,False,812
1103,92,2,False,813
1104,92,2,False,814
1105,92,2,False,815
1106,92,2,False,816
1107,92,2,False,817
1108,92,2,False,818
1109,92,2,False,819
1110,92,2,False,820
1111,92,2,False,821
1112,92,2,False,822
1113,92,2,False,823
1114,92,2,False,824
1115,92,2,True,290
1116,92,2,False,825
1117,93,4,False,826
1118,93,4,False,827
1119,93,4,False,828
1120,93,4,False,829
1121,93,4,True,291
1122,93,4,False,830
1123,93,4,False,831
1124,93,4,False,832
1125,93,4,False,833
1126,93,4,False,834
1127,93,4,False,835
1128,93,4,True,292
1129,93,4,False,836
1130,93,4,True,293
1131,94,4,False,837
1132,94,4,False,838
1133,94,4,False,839
1134,94,4,False,840
1135,94,4,False,841
1136,94,4,False,842
1137,94,4,True,294
1138,94,4,False,843
1139,94,4,False,844
1140,94,4,False,845
1141,94,4,False,846
1142,94,4,False,847
1143,94,4,True,295
1144,95,4,False,848
1145,95,4,False,849
1146,95,4,False,850
1147,95,4,True,296
1148,95,4,False,851
1149,95,4,False,852
1150,95,4,True,297
1151,95,4,False,853
1152,95,4,True,298
1153,95,4,True,299
1154,95,4,False,854
1155,95,4,False,855
1156,95,4,False,856
1157,96,4,False,857
1158,96,4,False,858
1159,96,4,False,859
1160,96,4,True,300
1161,96,4,False,860
1162,96,4,True,301
1163,96,4,True,302
1164,96,4,False,861
1165,97,4,False,862
1166,97,4,True,303
1167,97,4,True,304
1168,97,4,True,305
1169,97,4,False,863
1170,97,4,False,864
1171,97,4,True,306
1172,97,4,True,307
1173,97,4,False,865
1174,97,4,False,866
1175,97,4,False,867
1176,97,4,False,868
1177,97,4,False,869
1178,98,4,False,870
1179,98,4,False,871
1180,98,4,False,872
1181,98,4,True,308
1182,98,4,False,873
1183,98,4,True,309
1184,98,4,False,874
1185,98,4,True,310
1186,98,4,False,875
1187,98,4,True,311
1188,98,4,False,876
1189,98,4,False,877
1190,98,4,True,312
1191,98,4,False,878
1192,99,4,False,879
1193,99,4,False,880
1194,99,4,False,881
1195,99,4,False,882
1196,99,4,True,313
1197,99,4,True,314
1198,99,4,False,883
1199,99,4,False,884
1200,99,4,False,885
1201,99,4,True,315
1202,99,4,False,886
1203,99,4,False,887
1204,99,4,False,888
1205,99,4,True,316
1206,100,4,False,889
1207,100,4,False,890
1208,100,4,True,317
1209,100,4,False,891
1210,100,4,False,892
1211,100,4,False,893
1212,100,4,False,894
1213,100,4,False,895
1214,100,4,False,896
1215,101,4,False,897
1216,101,4,False,898
1217,101,4,False,899
1218,101,4,True,318
1219,101,4,False,900
1220,101,4,False,901
1221,101,4,False,902
1222,101,4,True,319
1223,101,4,False,903
1224,101,4,False,904
1225,102,4,True,320
1226,102,4,False,905
1227,102,4,True,321
1228,102,4,False,906
1229,102,4,False,907
1230,102,4,False,908
1231,102,4,False,909
1232,102,4,False,910
1233,102,4,False,911
1234,103,4,True,322
1235,103,4,False,912
1236,103,4,False,913
1237,103,4,True,323
1238,103,4,False,914
1239,103,4,True,324
1240,103,4,False,915
1241,103,4,False,916
1242,103,4,False,917
1243,103,4,False,918
1244,104,4,False,919
1245,104,4,False,920
1246,104,4,False,921
1247,104,4,False,922
1248,104,4,True,325
1249,104,4,True,326
1250,104,4,False,923
1251,104,4,False,924
1252,104,4,False,925
1253,104,4,False,926
1254,104,4,False,927
1255,105,4,False,928
1256,105,4,True,327
1257,105,4,False,929
1258,105,4,True,328
1259,105,4,True,329
1260,105,4,True,330
1261,105,4,False,930
1262,105,4,False,931
1263,105,4,False,932
1264,105,4,False,933
1265,105,4,False,934
1266,106,4,False,935
1267,106,4,False,936
1268,106,4,True,331
1269,106,4,False,937
1270,106,4,False,938
1271,106,4,False,939
1272,106,4,False,940
1273,106,4,True,332
1274,106,4,False,941
1275,106,4,False,942
1276,106,4,False,943
1277,107,4,False,944
1278,107,4,False,945
1279,107,4,True,333
1280,107,4,False,946
1281,107,4,False,947
1282,107,4,False,948
1283,107,4,False,949
1284,107,4,False,950
